Subtheme,Topic,YearRange5,Count
Work and Employment Transitions across the Lifespan,Absenteeism and work reemployment,2000-2004,2
Work and Employment Transitions across the Lifespan,Absenteeism and work reemployment,2010-2014,2
Work and Employment Transitions across the Lifespan,Absenteeism and work reemployment,2015-2019,3
Work and Employment Transitions across the Lifespan,Absenteeism and work reemployment,2020-2024,1
Work and Employment Transitions across the Lifespan,Retirement and bridge employment,1985-1989,4
Work and Employment Transitions across the Lifespan,Retirement and bridge employment,1990-1994,3
Work and Employment Transitions across the Lifespan,Retirement and bridge employment,1995-1999,1
Work and Employment Transitions across the Lifespan,Retirement and bridge employment,2000-2004,1
Work and Employment Transitions across the Lifespan,Retirement and bridge employment,2005-2009,4
Work and Employment Transitions across the Lifespan,Retirement and bridge employment,2015-2019,4
Work and Employment Transitions across the Lifespan,Retirement and bridge employment,2020-2024,11
Work and Employment Transitions across the Lifespan,"Unemployment, reemployment, and job search intensity",1980-1984,1
Work and Employment Transitions across the Lifespan,"Unemployment, reemployment, and job search intensity",1985-1989,3
Work and Employment Transitions across the Lifespan,"Unemployment, reemployment, and job search intensity",1990-1994,4
Work and Employment Transitions across the Lifespan,"Unemployment, reemployment, and job search intensity",1995-1999,3
Work and Employment Transitions across the Lifespan,"Unemployment, reemployment, and job search intensity",2000-2004,3
Work and Employment Transitions across the Lifespan,"Unemployment, reemployment, and job search intensity",2005-2009,4
Work and Employment Transitions across the Lifespan,"Unemployment, reemployment, and job search intensity",2010-2014,2
Work and Employment Transitions across the Lifespan,"Unemployment, reemployment, and job search intensity",2015-2019,3
Work and Employment Transitions across the Lifespan,"Unemployment, reemployment, and job search intensity",2020-2024,7
"Workplace Diversity, Equity, and Inclusion",Gender differences and stereotypes,1980-1984,5
"Workplace Diversity, Equity, and Inclusion",Gender differences and stereotypes,1985-1989,10
"Workplace Diversity, Equity, and Inclusion",Gender differences and stereotypes,1990-1994,8
"Workplace Diversity, Equity, and Inclusion",Gender differences and stereotypes,1995-1999,7
"Workplace Diversity, Equity, and Inclusion",Gender differences and stereotypes,2000-2004,8
"Workplace Diversity, Equity, and Inclusion",Gender differences and stereotypes,2005-2009,15
"Workplace Diversity, Equity, and Inclusion",Gender differences and stereotypes,2010-2014,4
"Workplace Diversity, Equity, and Inclusion",Gender differences and stereotypes,2015-2019,13
"Workplace Diversity, Equity, and Inclusion",Gender differences and stereotypes,2020-2024,16
"Workplace Diversity, Equity, and Inclusion",Gender gap in career outcomes,1980-1984,3
"Workplace Diversity, Equity, and Inclusion",Gender gap in career outcomes,1985-1989,7
"Workplace Diversity, Equity, and Inclusion",Gender gap in career outcomes,1990-1994,7
"Workplace Diversity, Equity, and Inclusion",Gender gap in career outcomes,1995-1999,6
"Workplace Diversity, Equity, and Inclusion",Gender gap in career outcomes,2000-2004,4
"Workplace Diversity, Equity, and Inclusion",Gender gap in career outcomes,2005-2009,5
"Workplace Diversity, Equity, and Inclusion",Gender gap in career outcomes,2010-2014,4
"Workplace Diversity, Equity, and Inclusion",Gender gap in career outcomes,2015-2019,3
"Workplace Diversity, Equity, and Inclusion",Gender gap in career outcomes,2020-2024,4
"Workplace Diversity, Equity, and Inclusion",Racial differences and subgroup validity,1980-1984,1
"Workplace Diversity, Equity, and Inclusion",Racial differences and subgroup validity,1985-1989,8
"Workplace Diversity, Equity, and Inclusion",Racial differences and subgroup validity,1990-1994,2
"Workplace Diversity, Equity, and Inclusion",Racial differences and subgroup validity,1995-1999,10
"Workplace Diversity, Equity, and Inclusion",Racial differences and subgroup validity,2000-2004,2
"Workplace Diversity, Equity, and Inclusion",Racial differences and subgroup validity,2005-2009,1
"Workplace Diversity, Equity, and Inclusion",Racial differences and subgroup validity,2010-2014,5
"Workplace Diversity, Equity, and Inclusion",Racial differences and subgroup validity,2015-2019,2
"Workplace Diversity, Equity, and Inclusion",Racial differences and subgroup validity,2020-2024,2
"Workplace Diversity, Equity, and Inclusion","Racial stigma, discrimination, and affirmative action",1990-1994,3
"Workplace Diversity, Equity, and Inclusion","Racial stigma, discrimination, and affirmative action",1995-1999,2
"Workplace Diversity, Equity, and Inclusion","Racial stigma, discrimination, and affirmative action",2000-2004,7
"Workplace Diversity, Equity, and Inclusion","Racial stigma, discrimination, and affirmative action",2005-2009,11
"Workplace Diversity, Equity, and Inclusion","Racial stigma, discrimination, and affirmative action",2010-2014,3
"Workplace Diversity, Equity, and Inclusion","Racial stigma, discrimination, and affirmative action",2015-2019,12
"Workplace Diversity, Equity, and Inclusion","Racial stigma, discrimination, and affirmative action",2020-2024,9
"Workplace Diversity, Equity, and Inclusion",Sexual harassment,1985-1989,1
"Workplace Diversity, Equity, and Inclusion",Sexual harassment,1995-1999,4
"Workplace Diversity, Equity, and Inclusion",Sexual harassment,2000-2004,9
"Workplace Diversity, Equity, and Inclusion",Sexual harassment,2005-2009,8
"Workplace Diversity, Equity, and Inclusion",Sexual harassment,2010-2014,2
"Workplace Diversity, Equity, and Inclusion",Sexual harassment,2020-2024,3
"Workplace Diversity, Equity, and Inclusion",Workplace diversity and discrimination,2000-2004,3
"Workplace Diversity, Equity, and Inclusion",Workplace diversity and discrimination,2005-2009,11
"Workplace Diversity, Equity, and Inclusion",Workplace diversity and discrimination,2010-2014,2
"Workplace Diversity, Equity, and Inclusion",Workplace diversity and discrimination,2015-2019,11
"Workplace Diversity, Equity, and Inclusion",Workplace diversity and discrimination,2020-2024,13
"Workplace Stress, Health, and Well-Being",Abusive supervision and workplace hostility,1990-1994,1
"Workplace Stress, Health, and Well-Being",Abusive supervision and workplace hostility,2000-2004,1
"Workplace Stress, Health, and Well-Being",Abusive supervision and workplace hostility,2005-2009,6
"Workplace Stress, Health, and Well-Being",Abusive supervision and workplace hostility,2010-2014,9
"Workplace Stress, Health, and Well-Being",Abusive supervision and workplace hostility,2015-2019,9
"Workplace Stress, Health, and Well-Being",Abusive supervision and workplace hostility,2020-2024,5
"Workplace Stress, Health, and Well-Being",Aggression,1995-1999,1
"Workplace Stress, Health, and Well-Being",Aggression,2000-2004,5
"Workplace Stress, Health, and Well-Being",Aggression,2005-2009,4
"Workplace Stress, Health, and Well-Being",Aggression,2010-2014,3
"Workplace Stress, Health, and Well-Being",Aggression,2015-2019,3
"Workplace Stress, Health, and Well-Being",Aggression,2020-2024,2
"Workplace Stress, Health, and Well-Being",COVID-19 pandemic and psychological impacts,1985-1989,1
"Workplace Stress, Health, and Well-Being",COVID-19 pandemic and psychological impacts,2005-2009,1
"Workplace Stress, Health, and Well-Being",COVID-19 pandemic and psychological impacts,2010-2014,1
"Workplace Stress, Health, and Well-Being",COVID-19 pandemic and psychological impacts,2015-2019,1
"Workplace Stress, Health, and Well-Being",COVID-19 pandemic and psychological impacts,2020-2024,52
"Workplace Stress, Health, and Well-Being",Organizational climate and safety,1980-1984,1
"Workplace Stress, Health, and Well-Being",Organizational climate and safety,1985-1989,2
"Workplace Stress, Health, and Well-Being",Organizational climate and safety,1990-1994,2
"Workplace Stress, Health, and Well-Being",Organizational climate and safety,1995-1999,3
"Workplace Stress, Health, and Well-Being",Organizational climate and safety,2000-2004,9
"Workplace Stress, Health, and Well-Being",Organizational climate and safety,2005-2009,12
"Workplace Stress, Health, and Well-Being",Organizational climate and safety,2010-2014,6
"Workplace Stress, Health, and Well-Being",Organizational climate and safety,2015-2019,6
"Workplace Stress, Health, and Well-Being",Organizational climate and safety,2020-2024,4
"Workplace Stress, Health, and Well-Being",Recovery from work,1980-1984,1
"Workplace Stress, Health, and Well-Being",Recovery from work,1985-1989,3
"Workplace Stress, Health, and Well-Being",Recovery from work,1990-1994,1
"Workplace Stress, Health, and Well-Being",Recovery from work,1995-1999,3
"Workplace Stress, Health, and Well-Being",Recovery from work,2000-2004,3
"Workplace Stress, Health, and Well-Being",Recovery from work,2005-2009,6
"Workplace Stress, Health, and Well-Being",Recovery from work,2010-2014,8
"Workplace Stress, Health, and Well-Being",Recovery from work,2015-2019,16
"Workplace Stress, Health, and Well-Being",Recovery from work,2020-2024,32
"Workplace Stress, Health, and Well-Being",Work-family interface,1980-1984,2
"Workplace Stress, Health, and Well-Being",Work-family interface,1985-1989,2
"Workplace Stress, Health, and Well-Being",Work-family interface,1990-1994,4
"Workplace Stress, Health, and Well-Being",Work-family interface,1995-1999,3
"Workplace Stress, Health, and Well-Being",Work-family interface,2000-2004,8
"Workplace Stress, Health, and Well-Being",Work-family interface,2005-2009,13
"Workplace Stress, Health, and Well-Being",Work-family interface,2010-2014,11
"Workplace Stress, Health, and Well-Being",Work-family interface,2015-2019,10
"Workplace Stress, Health, and Well-Being",Work-family interface,2020-2024,13
"Workplace Stress, Health, and Well-Being",Workplace deviance and insecurity,1985-1989,5
"Workplace Stress, Health, and Well-Being",Workplace deviance and insecurity,1990-1994,4
"Workplace Stress, Health, and Well-Being",Workplace deviance and insecurity,1995-1999,3
"Workplace Stress, Health, and Well-Being",Workplace deviance and insecurity,2000-2004,10
"Workplace Stress, Health, and Well-Being",Workplace deviance and insecurity,2005-2009,18
"Workplace Stress, Health, and Well-Being",Workplace deviance and insecurity,2010-2014,15
"Workplace Stress, Health, and Well-Being",Workplace deviance and insecurity,2015-2019,16
"Workplace Stress, Health, and Well-Being",Workplace deviance and insecurity,2020-2024,15
"Workplace Stress, Health, and Well-Being",Workplace stress and emotional burnout,1980-1984,2
"Workplace Stress, Health, and Well-Being",Workplace stress and emotional burnout,1985-1989,19
"Workplace Stress, Health, and Well-Being",Workplace stress and emotional burnout,1990-1994,8
"Workplace Stress, Health, and Well-Being",Workplace stress and emotional burnout,1995-1999,14
"Workplace Stress, Health, and Well-Being",Workplace stress and emotional burnout,2000-2004,18
"Workplace Stress, Health, and Well-Being",Workplace stress and emotional burnout,2005-2009,23
"Workplace Stress, Health, and Well-Being",Workplace stress and emotional burnout,2010-2014,25
"Workplace Stress, Health, and Well-Being",Workplace stress and emotional burnout,2015-2019,28
"Workplace Stress, Health, and Well-Being",Workplace stress and emotional burnout,2020-2024,27
